TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0xec16faa39395bbacc87a1ce17a771577ba8a8aa09c3eb8014d29387796fee8ac,10507364,2024-07-17 02:11:51.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1974247210720,ok,
0xec16faa39395bbacc87a1ce17a771577ba8a8aa09c3eb8014d29387796fee8ac,10507364,2024-07-17 02:11:51.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1974247210720,ok,
0xec16faa39395bbacc87a1ce17a771577ba8a8aa09c3eb8014d29387796fee8ac,10507364,2024-07-17 02:11:51.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805163,1974247210720,ok,
0xec16faa39395bbacc87a1ce17a771577ba8a8aa09c3eb8014d29387796fee8ac,10507364,2024-07-17 02:11:51.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x6cB4FA8BF590A02a3F5472cfb9EA5222cCf6d9B4,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805163,1974247210720,ok,
0x05d00567b86e2c481b8dbcdb3ada4bfe0e7e74da853ec7475f859e917c31d24c,10507387,2024-07-17 02:12:37.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1972858611782,ok,
0x05d00567b86e2c481b8dbcdb3ada4bfe0e7e74da853ec7475f859e917c31d24c,10507387,2024-07-17 02:12:37.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1972858611782,ok,
0x05d00567b86e2c481b8dbcdb3ada4bfe0e7e74da853ec7475f859e917c31d24c,10507387,2024-07-17 02:12:37.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805162,1972858611782,ok,
0x05d00567b86e2c481b8dbcdb3ada4bfe0e7e74da853ec7475f859e917c31d24c,10507387,2024-07-17 02:12:37.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x85E718eBeED58B8FC605a0AD98F7b1777F83febE,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805162,1972858611782,ok,
0x73dd7991afa766bea3ca133cc7eced196f84163ba13ead7c81b1e14ff060a144,10507411,2024-07-17 02:13:25.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1896811241157,ok,
0x73dd7991afa766bea3ca133cc7eced196f84163ba13ead7c81b1e14ff060a144,10507411,2024-07-17 02:13:25.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1896811241157,ok,
0x73dd7991afa766bea3ca133cc7eced196f84163ba13ead7c81b1e14ff060a144,10507411,2024-07-17 02:13:25.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805161,1896811241157,ok,
0x73dd7991afa766bea3ca133cc7eced196f84163ba13ead7c81b1e14ff060a144,10507411,2024-07-17 02:13:25.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x49A3a9A4985c77538E9Ad30e0289915139a53518,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805161,1896811241157,ok,
0x4eafff937c56700cbdf207d4e84255140e1b33490fa84c4e4fd8ec449d78bfa9,10507433,2024-07-17 02:14:09.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,2016037878920,ok,
0x4eafff937c56700cbdf207d4e84255140e1b33490fa84c4e4fd8ec449d78bfa9,10507433,2024-07-17 02:14:09.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,2016037878920,ok,
0x4eafff937c56700cbdf207d4e84255140e1b33490fa84c4e4fd8ec449d78bfa9,10507433,2024-07-17 02:14:09.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805160,2016037878920,ok,
0x4eafff937c56700cbdf207d4e84255140e1b33490fa84c4e4fd8ec449d78bfa9,10507433,2024-07-17 02:14:09.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x0158327967bF9c195239f0C770Cb86969193E707,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805160,2016037878920,ok,
0x79189bf86e9acd1b24bef5b0420dc6c3a86dfebc1a6b369dec8e77f504f579b9,10507457,2024-07-17 02:14:57.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2929172,1964932304811,ok,
0x79189bf86e9acd1b24bef5b0420dc6c3a86dfebc1a6b369dec8e77f504f579b9,10507457,2024-07-17 02:14:57.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2929172,1964932304811,ok,
0x79189bf86e9acd1b24bef5b0420dc6c3a86dfebc1a6b369dec8e77f504f579b9,10507457,2024-07-17 02:14:57.000000Z,0x0000000000000000000000000000000000000000,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805159,1964932304811,ok,
0x79189bf86e9acd1b24bef5b0420dc6c3a86dfebc1a6b369dec8e77f504f579b9,10507457,2024-07-17 02:14:57.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0xE855C779A04CD09D85F120Db3C0A4B1e977E96bd,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2805159,1964932304811,ok,
